name,link,code,animal_proportion,animal_decile
"Jogurtti, turkkilainen/kreikkalainen, rasvaa 10 %","Jogurtti, turkkilainen/kreikkalainen, rasvaa 10 %",32201,1.00,1.0
"Lohi tai kirjolohi, keitetty, suolaton","Lohi tai kirjolohi, keitetty, suolaton",32205,1.00,1.0
"Margariini 60%, flora normaalisuolainen, D-vit 20 ug","Margariini 60%, flora normaalisuolainen, D-vit 20 ug",32301,0.10,0.1
"Margariini 60%, flora laktoositon","Margariini 60%, flora laktoositon",32308,0.00,0.0
"Kasviöljyvalmiste, juokseva, 82%, flora culinesse","Kasviöljyvalmiste, juokseva, 82%, flora culinesse",32344,0.00,0.0
"Kasviöljyvalmiste, juokseva, 80%, keiju, rypsiöljy","Kasviöljyvalmiste, juokseva, 80%, keiju, rypsiöljy",32354,0.00,0.0
"Raejuusto, rasvaa 1,5 %","Raejuusto, rasvaa 1,5 %",32385,1.00,1.0
"Hapatettu kauravalmiste, marja-hedelmä, yosa, keskiarvo, probiootteja","Hapatettu kauravalmiste, marja-hedelmä, yosa, keskiarvo, probiootteja",32418,0.00,0.0
"Välipalajuoma, tehojuoma, hedelmäinen, rainbow, probiootteja","Välipalajuoma, tehojuoma, hedelmäinen, rainbow, probiootteja",32423,1.00,1.0
"Kasviöljyvalmiste, juokseva, 80%, sunnuntai, rypsiöljy","Kasviöljyvalmiste, juokseva, 80%, sunnuntai, rypsiöljy",32431,0.00,0.0
"Verigreippi, kuorittu","Verigreippi, kuorittu",32455,0.00,0.0
"Pähkinä, parapähkinä","Pähkinä, parapähkinä",32464,0.00,0.0
"Välipalajuoma, hevi shot, valio, ananas-porkkana-mango","Välipalajuoma, hevi shot, valio, ananas-porkkana-mango",32473,0.00,0.0
"Välipalajuoma, mehukatti hedelmävälipala, päärynä","Välipalajuoma, mehukatti hedelmävälipala, päärynä",32479,0.00,0.0
"Karjalanpiirakka, rukiinen imatran riisipiirakka, fazer","Karjalanpiirakka, rukiinen imatran riisipiirakka, fazer",32535,0.67,0.7
"Piimä, rasvaton, d-vit 0,5 ug","Piimä, rasvaton, d-vit 0,5 ug",32593,1.00,1.0
"Jogurtti, maustettu, rasvaa 2 %, d-vit 1 ug","Jogurtti, maustettu, rasvaa 2 %, d-vit 1 ug",32599,1.00,1.0
"Maustekastike, bbq, barbecuemarinadi lihalle, kotitekoinen","Maustekastike, bbq, barbecuemarinadi lihalle, kotitekoinen",32618,0.00,0.0
"Rasvaseoslevite 75%, oivariini, normaalisuolainen, vl","Rasvaseoslevite 75%, oivariini, normaalisuolainen, vl",32664,0.71,0.7
"Rasvaseoslevite 75%, oivariini, vähemmän suolaa, vl","Rasvaseoslevite 75%, oivariini, vähemmän suolaa, vl",32665,0.71,0.7
"Rasvaseos 60%, oivariini, vähärasvaisempi, vl","Rasvaseos 60%, oivariini, vähärasvaisempi, vl",32669,0.71,0.7
"Rasvaseoslevite 43%, ingmariini, vl","Rasvaseoslevite 43%, ingmariini, vl",32671,0.60,0.6
"Rasvaseoslevite 75%, ingmariini, normaalisuolainen, vl","Rasvaseoslevite 75%, ingmariini, normaalisuolainen, vl",32673,0.68,0.7
"Rasvaseos 60%, ingmariini, vähärasvaisempi, vl","Rasvaseos 60%, ingmariini, vähärasvaisempi, vl",32676,0.58,0.6
"Jäätelö, pehmytjäätelö, pehmis, soft ice, ei vohvelia","Jäätelö, pehmytjäätelö, pehmis, soft ice, ei vohvelia",32701,1.00,1.0
"Jäätelö, soijajäätelö, tofuline, vanilja","Jäätelö, soijajäätelö, tofuline, vanilja",32702,0.00,0.0
"Jauheliha, naudanpaisti, rasvaa 9 %","Jauheliha, naudanpaisti, rasvaa 9 %",32704,1.00,1.0
"Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 4 %, vl","Ruoanvalmistuskerma, kasvirasvakerma, rasvaa 4 %, vl",32710,0.00,0.0
Mikropopcorn,Mikropopcorn,32713,0.00,0.0
"Keksi, teollinen, keskiarvo","Keksi, teollinen, keskiarvo",32715,0.00,0.0
"Raakamakkara, chorizo, kotitekoinen","Raakamakkara, chorizo, kotitekoinen",32724,1.00,1.0
